k,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,recall_mean,recall_stdev,f1_score_mean,f1_score_stdev
1,0.8729285714285714,0.02722844787223889,0.849188425576846,0.03465672746090428,0.9753303244520451,0.019029809264800898,0.9073857762018692,0.020378425510583158
2,0.8903571428571428,0.027173124310746016,0.8839244918415795,0.03509438656892524,0.9550838506171988,0.025104015580011272,0.917528808461681,0.020646895605504586
3,0.8706428571428572,0.0274658949702762,0.842158914691677,0.03468011129590685,0.9826908428498716,0.012995210779371205,0.9065607018571022,0.020248422602302103
4,0.8884285714285715,0.02581948977730463,0.866251384825153,0.034453189864846814,0.9772596524616608,0.01525131646433087,0.9179449278676611,0.019321994510514924
5,0.8641428571428571,0.027373516776950536,0.8348715945605214,0.033724967663859136,0.9825940616419124,0.014102879724649993,0.9022996341577971,0.02019049609697866
6,0.8772142857142857,0.026681640044820036,0.8523591743476953,0.034083094060831064,0.9779812612398825,0.015309587523772523,0.9104228475621471,0.02008468424091865
7,0.8607142857142858,0.02808936764554981,0.8311621243607886,0.03473861483903775,0.9827465387766646,0.014201396372445656,0.9001408802455978,0.020321000380221912
8,0.8711428571428571,0.02735355301423522,0.8447252245499522,0.03442439274090582,0.9792746077139558,0.014952705375429814,0.9065762797607488,0.020170021758385646
9,0.8520714285714286,0.03356897230890308,0.8213760209189173,0.040868306798332074,0.9844410915638202,0.013831631005872843,0.8948535226410015,0.0234961897162013
10,0.8595,0.03186394947312028,0.8310838366850344,0.040108747145578875,0.9812041812462232,0.014946113215831495,0.8992585266563405,0.022770832127849736
11,0.8402857142857143,0.041208301325389496,0.808611051072925,0.04750270766964837,0.9864138961049222,0.012371749343088021,0.8877861206090321,0.027747017909217898
12,0.8474285714285714,0.037680644403832925,0.8173206405161525,0.04479278075028879,0.9833444834142868,0.013761793801021598,0.8918567705970406,0.026002069294224692
13,0.8246428571428571,0.04755813203323074,0.7922348772659666,0.051399967728977834,0.9886139525228997,0.01176458663875444,0.8785408465156974,0.03109525641055033
14,0.8331428571428572,0.04545425685334066,0.8012116252246505,0.050254172766616464,0.9872708640709463,0.012699098460133063,0.8835536282074283,0.030103696210713345
15,0.8088571428571428,0.052076248745126175,0.7758974257214303,0.05402955185178522,0.9920032527925006,0.009872781034169198,0.869553908483795,0.03312877761636476
16,0.8172142857142857,0.05029386945218378,0.7844082006933615,0.05320111055376447,0.9906869601500129,0.011191266333302707,0.8743907503412585,0.03212451687412588
17,0.7917142857142857,0.056459843016325846,0.7597011150642545,0.05629930222741006,0.9937900508605801,0.008331707540698823,0.8598276846266708,0.03520056395140144
18,0.7990714285714285,0.05439511077923474,0.7668145061991386,0.05546463978601371,0.9925931467202673,0.00987985140257839,0.8639379522225042,0.034104478442891877
19,0.7745714285714286,0.057523264812076515,0.7439125704312133,0.055546013709444945,0.9952471751370692,0.0075235396594190325,0.850150512854114,0.03553874341369599
20,0.7822857142857143,0.0579620217003855,0.7512564879797322,0.05678363026458636,0.9940310915574321,0.008315065955740735,0.8544328372558347,0.03596821209565849
21,0.7552857142857143,0.05730154732923422,0.7271638754316389,0.05388426156308288,0.9960413934870521,0.006878106575968208,0.8394045487018923,0.035136300796006735
22,0.7641428571428571,0.05725079992401684,0.7352540664620575,0.05537605811844522,0.9947334204084898,0.008244057230717056,0.8442079426067794,0.035137097612375295
23,0.7420714285714286,0.05689787855269435,0.7157768456251594,0.05274357362855907,0.9976047654358147,0.005489926236412359,0.8323348074461598,0.03475663255752222
24,0.7496428571428572,0.0566571620680514,0.7223283726376631,0.05341602502018785,0.996496652130513,0.006387919404803142,0.8363342200301305,0.034745002707642164
25,0.7277857142857143,0.051686612145480225,0.7038835676633708,0.047655521815085845,0.9977077907490876,0.004942336867139521,0.8244474348736921,0.03186685270625675
26,0.7354285714285714,0.053074122720745825,0.7100538126337663,0.0493230847490009,0.9976067806480775,0.004997924337380927,0.8285798699211112,0.03273131011386342
27,0.7167857142857142,0.04866147963309848,0.6947852178485929,0.04437678030999334,0.9988039536886346,0.003722347815898659,0.8186676719207854,0.03037442735177639
28,0.7234285714285714,0.05078318795558407,0.7001498706359974,0.046560773210209266,0.9984752386941009,0.004073500824715863,0.8221952258698215,0.031541083753162585
29,0.7074285714285714,0.04645681236781397,0.6874243291135173,0.04242171232223783,0.9993511002089202,0.002581900155785983,0.8137836185548847,0.02934328216424887
