k,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,recall_mean,recall_stdev,f1_score_mean,f1_score_stdev
1,0.8527142857142858,0.024318795904834125,0.827055150842432,0.0318730334306486,0.9739800405193448,0.01788141275788696,0.8940518137244469,0.01865516862419022
2,0.8799285714285714,0.024146852816208656,0.8655230327103633,0.03174537222079229,0.9625161329104597,0.020624166814340848,0.9109776410326332,0.01854833860218078
3,0.8358571428571429,0.025962804213694467,0.8059263798939663,0.03205070320036116,0.9798178339156357,0.01422832170665165,0.8839824250202047,0.01952311874122032
4,0.8565714285714285,0.026292206990342317,0.8309492881007642,0.0333409713194249,0.9746378483968131,0.013116234798914043,0.8966502921721551,0.019675635810297198
5,0.8281428571428572,0.025336734465567678,0.7991190779728473,0.031421276224071704,0.9774264345920155,0.012443652717999899,0.8789223254400523,0.019086367963097494
6,0.8447857142857143,0.026432471144756553,0.8168287255576719,0.03272629600188692,0.9768565028897309,0.012264569570340392,0.8892994091041462,0.019866034993838478
7,0.8269285714285715,0.028059170480100332,0.7977444343832114,0.034384148364766914,0.9779672556592959,0.01248189322725815,0.8782377249826255,0.02092973661613968
8,0.8404285714285714,0.026941609828220255,0.8117856620117204,0.033109738950155614,0.9776379936961331,0.012352898212648292,0.8866124554761052,0.02029783365519403
9,0.8257857142857143,0.029545010541674337,0.7961113691633419,0.03552409674320187,0.9793559247506274,0.012738602956753201,0.8777518544328624,0.021379074693345
10,0.8367857142857142,0.027380952380952377,0.8076273945798713,0.03342105295804007,0.9784547029040477,0.012639367481204127,0.884434558832569,0.020386038256327513
11,0.8197857142857143,0.034291350546825854,0.7898348790283605,0.03916698696369851,0.9807830273443638,0.011592816720774224,0.874371889805051,0.023581258034684558
12,0.8300714285714286,0.030915645866592983,0.800536559664036,0.037007616402895,0.9794647880931785,0.01252909377191581,0.8804436525952876,0.02212111861255005
13,0.8130714285714286,0.03798760498299211,0.7831856521234901,0.04187861181304763,0.9815776924547802,0.012923845083500167,0.8704728275293832,0.025289974662325278
