k,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,recall_mean,recall_stdev,f1_score_mean,f1_score_stdev
1,0.8953571428571429,0.02368745765972711,0.8740563590399699,0.03131504724408793,0.9779271133409428,0.015589164169482332,0.9226876910980761,0.017871598520931755
2,0.9065,0.01793547035014963,0.9019715060080409,0.026588094738589505,0.9584637286860841,0.02013514180911655,0.928964467939438,0.014249557034135768
3,0.8834285714285715,0.022216861856072467,0.8584696006946717,0.028933353123439396,0.9794721797124423,0.014591747047754823,0.9146618275409972,0.017250864356714912
4,0.8980714285714285,0.020377164150103093,0.8803426516517959,0.027658673420388545,0.9730779544928368,0.0144344418036217,0.9240934270168912,0.016120615364897894
5,0.8767142857142857,0.022918838093560805,0.8528808732263533,0.0301373222220421,0.9757502685734558,0.012908973020918665,0.9098549294191026,0.017962755471099438
6,0.8874285714285715,0.022840000787026037,0.8664025886845057,0.02951568578185893,0.9744012496522658,0.013280212609254632,0.9169338576746849,0.01787434638338968
7,0.8657857142857143,0.022110249229847632,0.8400501890824793,0.029179355238025555,0.9762043944654062,0.01313667364073834,0.9026910759812219,0.01733883094464852
8,0.8747857142857143,0.023645648161423272,0.8509443355247414,0.030622539968536155,0.9753149977949781,0.013272930612205344,0.9085527099038213,0.018291590662256278
9,0.8533571428571428,0.02362384307553261,0.8261665300564618,0.03002472620167449,0.9763155250216429,0.012942169786841609,0.8946474360405661,0.018371658419183937
10,0.8620714285714286,0.025109428617222762,0.8362640609353097,0.03135892682715849,0.9755389928356774,0.013519880043459715,0.9002034500935063,0.01942905221233054
11,0.8457142857142858,0.021963031851023065,0.8175259800736749,0.027821542356987656,0.9768764076225075,0.012563771705488037,0.8898281043740499,0.017234584559703683
12,0.8523571428571428,0.022474589971630377,0.8250668354482652,0.02792392811496902,0.9762163158865298,0.013068518342862283,0.8940131319050951,0.01750886324241592
13,0.8409285714285715,0.021983085081139105,0.8124085648322495,0.027986897252235646,0.9769999378143371,0.012693569826596671,0.8868244072699825,0.01720428795808735
14,0.8460714285714286,0.023047882900711428,0.8180973998990025,0.028874755745591316,0.9765517196779168,0.012962105487365271,0.8900179391182953,0.018026278646077254
15,0.8375714285714285,0.022556189715818138,0.8084031174301651,0.02868318725212579,0.9779949324049318,0.012468088434876472,0.8848183773244174,0.017603055211545253
16,0.8428571428571429,0.022056691260358426,0.814218856050931,0.028061807741615322,0.9774439100242978,0.012507587083563655,0.8880887589676569,0.017323633217723153
17,0.8348571428571429,0.022956134844178952,0.8054199855491051,0.02931579748724964,0.978327497642124,0.012418955473398092,0.8831482161153063,0.017960237482715854
18,0.8396428571428571,0.023203877120427815,0.8108260481895287,0.02967558544919145,0.9775553585006779,0.012568984727217151,0.8860697097102289,0.018090447357969903
19,0.8295,0.026719470756389356,0.7995608698186468,0.03296873309209157,0.9794317344852035,0.012552602053501625,0.8799677381004238,0.02015805100020967
20,0.8344285714285714,0.026227443411030133,0.8050585968120642,0.03265255848905183,0.9785494530324764,0.013366351345597768,0.8829333058102601,0.0198250887461808
21,0.8235,0.029743197583900514,0.7935076937254691,0.03635631279812291,0.9798901052282106,0.01330996797166262,0.8763530642832741,0.02191470502564293
22,0.8287142857142857,0.028299208232024302,0.7992754833257302,0.03490072674916662,0.9786557989407043,0.013498034617750641,0.8794136237317491,0.021090485650902376
23,0.8185,0.03126045485802028,0.7882941152123282,0.037422896000391156,0.9806853353556705,0.013378646192932844,0.8734284513372992,0.022490087900702328
24,0.8231428571428572,0.02949656612055979,0.7938103818895824,0.03613388697578801,0.978582084642353,0.01365283048059219,0.8760063453660044,0.021578683628902022
25,0.8107857142857143,0.03381676344658166,0.7804518342868175,0.03927086267181226,0.9817101873708579,0.012823654071355602,0.8689286727392622,0.023733740259806797
26,0.8161428571428572,0.03293860282981244,0.7864124911172578,0.03882068788617715,0.9799108534439406,0.014033983132187467,0.8719206118018286,0.023514966646936097
27,0.8033571428571429,0.036328839514893206,0.7728245555807558,0.04098577234279496,0.9835405759632161,0.01368530705883772,0.8647764864625307,0.024618351688469906
28,0.8094285714285714,0.03510857206740019,0.7793709055464955,0.04062879819698258,0.9816389419765054,0.014689496134669619,0.8681339453938027,0.02428860920529245
29,0.7961428571428572,0.03979461805908896,0.7657726889390627,0.043455817857592706,0.9846581089809602,0.014191236727712287,0.8606811922196103,0.026676351711795544
30,0.8029285714285714,0.037151389296421984,0.7725329211718631,0.041971834491753277,0.9834503450032691,0.014936175570341992,0.8645093782806053,0.02523139708372627
31,0.7882857142857143,0.04075559282764308,0.7582915082422095,0.04371148541309728,0.9855552883561863,0.013994035436798462,0.8562411525593444,0.026909401625971035
32,0.7932857142857143,0.03901513800577367,0.7635575139872998,0.04286160779888128,0.9837992854339155,0.01512320897614403,0.8589370688864306,0.025897623149215933
33,0.7811428571428571,0.04335354649640221,0.7517668379974517,0.04526666601394711,0.9863803929499014,0.014180980308129375,0.8522908761444118,0.0279924898396117
34,0.7862142857142858,0.042968290216520225,0.7569335644722672,0.04559695832143525,0.9849138103476007,0.014678599118396612,0.85503399825747,0.027871644617145596
35,0.7737142857142857,0.04520823803956454,0.744794172767897,0.04620275615951907,0.9878394827920884,0.014066674353881736,0.848268848851608,0.028772700678487435
36,0.7793571428571429,0.04451917933190031,0.7503254082339349,0.04616353652535376,0.9864062927125611,0.014966121535765516,0.851307668191174,0.02844210944352598
37,0.7681428571428571,0.046139571182012826,0.7391305563799667,0.046196599461239225,0.9900767878730629,0.013591516359235643,0.8453998005456458,0.02924869434167882
38,0.7734285714285715,0.044254282938960374,0.7441425204757216,0.04511037875299684,0.9886216534415406,0.01368049897358875,0.8481811548929791,0.028263100813468098
39,0.7616428571428572,0.046939468997234314,0.7330867992292253,0.04668190692266536,0.9914977701071326,0.012639866623502369,0.8419281646410408,0.029807105508431492
40,0.7667142857142857,0.045586717750806464,0.7380079090081019,0.046169167195539124,0.9897299669791271,0.013623078685877952,0.84453207571158,0.029060329668878303
41,0.7556428571428572,0.04756810045168215,0.7277659096727852,0.04683888644991642,0.9925463868605175,0.010971164639718636,0.8387613230834287,0.029878977343400108
42,0.7611428571428571,0.047285847250917105,0.732783771364953,0.04696652260608235,0.9914189008067141,0.011540581785486411,0.8416826923370427,0.02976075671262432
