k,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,recall_mean,recall_stdev,f1_score_mean,f1_score_stdev
1,0.8527142857142858,0.024318795904834125,0.827055150842432,0.0318730334306486,0.9739800405193448,0.01788141275788696,0.8940518137244469,0.01865516862419022
3,0.8358571428571429,0.025962804213694467,0.8059263798939663,0.03205070320036116,0.9798178339156357,0.01422832170665165,0.8839824250202047,0.01952311874122032
5,0.8281428571428572,0.025336734465567678,0.7991190779728473,0.031421276224071704,0.9774264345920155,0.012443652717999899,0.8789223254400523,0.019086367963097494
7,0.8269285714285715,0.028059170480100332,0.7977444343832114,0.034384148364766914,0.9779672556592959,0.01248189322725815,0.8782377249826255,0.02092973661613968
9,0.8257857142857143,0.029545010541674337,0.7961113691633419,0.03552409674320187,0.9793559247506274,0.012738602956753201,0.8777518544328624,0.021379074693345
11,0.8197857142857143,0.034291350546825854,0.7898348790283605,0.03916698696369851,0.9807830273443638,0.011592816720774224,0.874371889805051,0.023581258034684558
13,0.8130714285714286,0.03798760498299211,0.7831856521234901,0.04187861181304763,0.9815776924547802,0.012923845083500167,0.8704728275293832,0.025289974662325278
15,0.8065,0.04225277323455979,0.7769785831860186,0.04545190191171829,0.9821281323432713,0.01240511425697476,0.8667006419243485,0.027504325426318917
17,0.8002142857142858,0.046151130205148105,0.7704817732378094,0.04821753541922626,0.9841399823254996,0.012171892659511548,0.8632988709181078,0.029493889292773915
19,0.7912142857142858,0.04926647050957508,0.7621287530211669,0.05044375169968043,0.984941955044139,0.013066795548172286,0.8581905035899021,0.030917236366534224
21,0.7808571428571429,0.05175621142976526,0.7523107672299248,0.051760487652626266,0.9865207428156124,0.012737674237018798,0.8524490951020579,0.032107797104144895
23,0.7723571428571429,0.05465974849507861,0.7446221731722479,0.05360552733893021,0.9876359908340658,0.01259474238755952,0.8477990740363116,0.0335940891989682
25,0.7602142857142857,0.0574957985612464,0.734064784385936,0.05547509720287969,0.9886608702698998,0.012024035776776009,0.8411564714222233,0.03499885397011278
27,0.7475,0.05878217637103689,0.7233265256626505,0.05586193571002954,0.9894505397989293,0.011776391636015394,0.8342650782544853,0.03539282796557495
29,0.7367857142857143,0.05890478990154962,0.7140067226047919,0.05521020907596156,0.991142734976062,0.011659965949451144,0.8286272579043517,0.03539673305864894
31,0.7277142857142858,0.05928767012890239,0.7062161009014093,0.05469650060978988,0.9931640439958935,0.0114587140900429,0.8240520431794276,0.035354504252853386
33,0.7174285714285714,0.05499498674702732,0.6974099698641507,0.050601462657151056,0.9945397384636715,0.010549278504459605,0.8186455137077626,0.03288781091342218
35,0.7101428571428572,0.054219789848487826,0.6912920942240838,0.049208878140159194,0.9958187410930325,0.00974316358730924,0.8149335280365104,0.03275169511705879
37,0.7025714285714286,0.0523073075369848,0.6850513257583194,0.0471279732453475,0.997170531326591,0.008470811519359928,0.8111180397097977,0.031831455247389125
39,0.6959285714285715,0.05173006663302239,0.6797772616850538,0.04619459552457799,0.9981434841954496,0.006627477353208323,0.8077888628996339,0.03180438900544514
41,0.6901428571428572,0.05041346261610865,0.6751838210482239,0.04423602533460553,0.9991205108233788,0.004621428271235298,0.804952351093459,0.031101758511302407
43,0.6860714285714286,0.048777837883235274,0.6720514309249144,0.042783214923838,0.999447947253871,0.002898510696841719,0.8028875022202596,0.030359639104069976
45,0.6801428571428572,0.046552780905318135,0.6676170783194114,0.04112212889586163,0.9997789447972643,0.001555399827690434,0.799882927790843,0.02943781097131139
47,0.6754285714285714,0.04671567353450793,0.6643119807485797,0.04106458314576407,0.9998913043478261,0.0010869565217391352,0.7975385551180876,0.029565755313926526
49,0.6710714285714285,0.04473259379282089,0.6612573380415083,0.03977637523919953,0.9996726663549945,0.001870855175140145,0.795293226676908,0.028601176458227996
51,0.6691428571428572,0.044784465162978494,0.6599089977293499,0.03970975814564562,0.9997837774661057,0.00152120543816093,0.7943548039905379,0.02863603148183592
53,0.6656428571428571,0.04400454194057372,0.6574484696416881,0.039055844187773234,0.9998924731182796,0.0010752688172043002,0.7926249878444379,0.028318203486356528
55,0.6615,0.04269926427534485,0.6545490086717513,0.0380487363396069,1.0,0.0,0.7905802333176519,0.027732831946945116
57,0.659,0.04175618090269563,0.6528255052593717,0.0373978256964104,1.0,0.0,0.7893395532877507,0.027301957044082056
59,0.6557857142857143,0.039875799240634224,0.6505931966007477,0.036068895075331425,1.0,0.0,0.7877429494123797,0.026424273727806567
61,0.6535,0.038812179549534205,0.6490323969650138,0.03532727553145498,1.0,0.0,0.7866176542828275,0.02593646930493017
63,0.6513571428571429,0.03769671143727143,0.6475770927095782,0.03452937265576344,1.0,0.0,0.7855697356278983,0.02538525258475093
65,0.6495714285714286,0.035977672363267515,0.6463298889279127,0.03338089209079008,1.0,0.0,0.7846829328040522,0.02460340701560159
67,0.6468571428571428,0.03375307769013024,0.6444740334283902,0.03191499921257485,1.0,0.0,0.7833527809730401,0.023578878037218278
