k,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,recall_mean,recall_stdev,f1_score_mean,f1_score_stdev
1,0.8953571428571429,0.02368745765972711,0.8740563590399699,0.03131504724408793,0.9779271133409428,0.015589164169482332,0.9226876910980761,0.017871598520931755
3,0.8834285714285715,0.022216861856072467,0.8584696006946717,0.028933353123439396,0.9794721797124423,0.014591747047754823,0.9146618275409972,0.017250864356714912
5,0.8767142857142857,0.022918838093560805,0.8528808732263533,0.0301373222220421,0.9757502685734558,0.012908973020918665,0.9098549294191026,0.017962755471099438
7,0.8657857142857143,0.022110249229847632,0.8400501890824793,0.029179355238025555,0.9762043944654062,0.01313667364073834,0.9026910759812219,0.01733883094464852
9,0.8533571428571428,0.02362384307553261,0.8261665300564618,0.03002472620167449,0.9763155250216429,0.012942169786841609,0.8946474360405661,0.018371658419183937
11,0.8457142857142858,0.021963031851023065,0.8175259800736749,0.027821542356987656,0.9768764076225075,0.012563771705488037,0.8898281043740499,0.017234584559703683
13,0.8409285714285715,0.021983085081139105,0.8124085648322495,0.027986897252235646,0.9769999378143371,0.012693569826596671,0.8868244072699825,0.01720428795808735
15,0.8375714285714285,0.022556189715818138,0.8084031174301651,0.02868318725212579,0.9779949324049318,0.012468088434876472,0.8848183773244174,0.017603055211545253
17,0.8348571428571429,0.022956134844178952,0.8054199855491051,0.02931579748724964,0.978327497642124,0.012418955473398092,0.8831482161153063,0.017960237482715854
19,0.8295,0.026719470756389356,0.7995608698186468,0.03296873309209157,0.9794317344852035,0.012552602053501625,0.8799677381004238,0.02015805100020967
21,0.8235,0.029743197583900514,0.7935076937254691,0.03635631279812291,0.9798901052282106,0.01330996797166262,0.8763530642832741,0.02191470502564293
23,0.8185,0.03126045485802028,0.7882941152123282,0.037422896000391156,0.9806853353556705,0.013378646192932844,0.8734284513372992,0.022490087900702328
25,0.8107857142857143,0.03381676344658166,0.7804518342868175,0.03927086267181226,0.9817101873708579,0.012823654071355602,0.8689286727392622,0.023733740259806797
27,0.8033571428571429,0.036328839514893206,0.7728245555807558,0.04098577234279496,0.9835405759632161,0.01368530705883772,0.8647764864625307,0.024618351688469906
29,0.7961428571428572,0.03979461805908896,0.7657726889390627,0.043455817857592706,0.9846581089809602,0.014191236727712287,0.8606811922196103,0.026676351711795544
31,0.7882857142857143,0.04075559282764308,0.7582915082422095,0.04371148541309728,0.9855552883561863,0.013994035436798462,0.8562411525593444,0.026909401625971035
33,0.7811428571428571,0.04335354649640221,0.7517668379974517,0.04526666601394711,0.9863803929499014,0.014180980308129375,0.8522908761444118,0.0279924898396117
35,0.7737142857142857,0.04520823803956454,0.744794172767897,0.04620275615951907,0.9878394827920884,0.014066674353881736,0.848268848851608,0.028772700678487435
37,0.7681428571428571,0.046139571182012826,0.7391305563799667,0.046196599461239225,0.9900767878730629,0.013591516359235643,0.8453998005456458,0.02924869434167882
39,0.7616428571428572,0.046939468997234314,0.7330867992292253,0.04668190692266536,0.9914977701071326,0.012639866623502369,0.8419281646410408,0.029807105508431492
41,0.7556428571428572,0.04756810045168215,0.7277659096727852,0.04683888644991642,0.9925463868605175,0.010971164639718636,0.8387613230834287,0.029878977343400108
43,0.7501428571428571,0.04876309691453942,0.7229309051706692,0.04695430993583697,0.9936753828129103,0.010294983094113176,0.8359320192432613,0.03025033190927109
45,0.7427857142857143,0.05103035462724914,0.7167279831568383,0.04811587095521768,0.9947932196328314,0.009567756154940838,0.83210815123648,0.03136677189814368
47,0.7366428571428572,0.051704157802194395,0.71153805712142,0.04824616521177,0.9955383815419776,0.008902815808345978,0.8288643629004976,0.03186580012976287
49,0.7310714285714286,0.05203917422965343,0.7066731369569397,0.04827776442502536,0.9968544768576564,0.0074429338456293605,0.826018644646484,0.03223737326083948
51,0.7247857142857143,0.05283602986940198,0.701834451251119,0.04872537970223516,0.996854259921708,0.007897870547524291,0.8226670358243938,0.032702126868782336
53,0.718,0.05253303384951159,0.6963520673434036,0.047921558719868446,0.997492719143168,0.006740784884007004,0.8191422340238708,0.032594996307106126
55,0.7121428571428572,0.05303118649321519,0.6918285231378823,0.04801644069360958,0.9978154498473925,0.006603597092971207,0.8161078654000178,0.03293828192722015
